notes,Cleaned_Column
"2022-06-01 06:03:28 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:94253"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 05:41:16 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 060328  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat94253 target_blankorion alert detailsacode

20220601 054116  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 05:43:14 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 054314  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-02 00:38:02 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85587"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 20:07:55 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-01 19:57:54 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85587"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 05:43:25 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220602 003802  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85587 target_blankorion alert detailsacode

20220601 200755  solarwinds integration work notes
orion alert has been reactivated

20220601 195754  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85587 target_blankorion alert detailsacode

20220601 054325  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 09:14:03 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:80991"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 05:44:21 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

","20220601 091403  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat80991 target_blankorion alert detailsacode

20220601 054421  sujan kumar work notes
out of  service desk scope hence assigning to concern team

"
"2022-06-01 06:07:16 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:97368"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 05:47:38 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 060716  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat97368 target_blankorion alert detailsacode

20220601 054738  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 06:48:30 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:70878"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 05:47:31 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 064830  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat70878 target_blankorion alert detailsacode

20220601 054731  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 06:12:16 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:95348"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 05:52:31 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

","20220601 061216  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat95348 target_blankorion alert detailsacode

20220601 055231  sujan kumar work notes
out of  service desk scope hence assigning to concern team

"
"2022-06-01 06:15:28 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:87756"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 05:54:04 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

","20220601 061528  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat87756 target_blankorion alert detailsacode

20220601 055404  sujan kumar work notes
out of  service desk scope hence assigning to concern team

"
"2022-06-02 09:21:38 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:91893"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 08:49:06 - Albin Cherian (Work notes)
We are working on it

2022-06-02 08:37:03 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-02 08:12:36 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:91893"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-02 03:27:49 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-01 09:12:02 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:91893"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 06:10:07 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

","20220602 092138  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat91893 target_blankorion alert detailsacode

20220602 084906  albin cherian work notes
we are working on it

20220602 083703  solarwinds integration work notes
orion alert has been reactivated

20220602 081236  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat91893 target_blankorion alert detailsacode

20220602 032749  solarwinds integration work notes
orion alert has been reactivated

20220601 091202  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat91893 target_blankorion alert detailsacode

20220601 061007  sujan kumar work notes
out of  service desk scope hence assigning to concern team

"
"2022-06-02 00:54:45 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85588"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 06:13:23 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

","20220602 005445  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85588 target_blankorion alert detailsacode

20220601 061323  sujan kumar work notes
out of  service desk scope hence assigning to concern team

"
"2022-06-02 00:27:50 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:85936"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 06:43:29 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220602 002750  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat85936 target_blankorion alert detailsacode

20220601 064329  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 07:09:31 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:61048"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 06:47:04 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 070931  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat61048 target_blankorion alert detailsacode

20220601 064704  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 07:57:09 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:82138"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 07:08:25 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

","20220601 075709  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat82138 target_blankorion alert detailsacode

20220601 070825  sujan kumar work notes
out of  service desk scope hence assigning to concern team

"
"2022-06-01 07:09:24 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

","20220601 070924  sujan kumar work notes
out of  service desk scope hence assigning to concern team

"
"2022-06-01 08:02:19 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:94905"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 07:32:08 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 080219  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat94905 target_blankorion alert detailsacode

20220601 073208  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-02 02:43:20 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:71472"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 07:45:59 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220602 024320  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat71472 target_blankorion alert detailsacode

20220601 074559  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 07:56:24 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 075624  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 08:52:21 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:95432"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 07:56:28 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 085221  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat95432 target_blankorion alert detailsacode

20220601 075628  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 08:24:47 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 082447  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 15:51:54 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-01 15:32:31 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:91852"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 13:06:52 - SolarWinds Integration (Work notes)
Orion alert has been reactivated.

2022-06-01 11:42:26 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:91852"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 08:37:37 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 155154  solarwinds integration work notes
orion alert has been reactivated

20220601 153231  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat91852 target_blankorion alert detailsacode

20220601 130652  solarwinds integration work notes
orion alert has been reactivated

20220601 114226  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat91852 target_blankorion alert detailsacode

20220601 083737  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-02 00:27:51 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:81084"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 08:53:52 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220602 002751  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat81084 target_blankorion alert detailsacode

20220601 085352  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-01 09:09:34 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:61922"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 08:53:16 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

","20220601 090934  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat61922 target_blankorion alert detailsacode

20220601 085316  sujan kumar work notes
out of  service desk scope hence assigning to concern team

"
"2022-06-02 00:27:51 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:81191"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 09:13:26 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220602 002751  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat81191 target_blankorion alert detailsacode

20220601 091326  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-02 00:22:50 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:82636"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 09:38:48 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220602 002250  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat82636 target_blankorion alert detailsacode

20220601 093848  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-02 00:32:51 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:81227"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 09:48:38 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220602 003251  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat81227 target_blankorion alert detailsacode

20220601 094838  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
"2022-06-02 00:22:51 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:82184"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 09:53:02 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

","20220602 002251  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat82184 target_blankorion alert detailsacode

20220601 095302  sujan kumar work notes
out of  service desk scope hence assigning to concern team

"
"2022-06-01 11:04:33 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:86041"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 10:24:28 - Sujan Kumar (Work notes)
Out of  Service Desk scope. Hence, Assigning to concern team.

","20220601 110433  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat86041 target_blankorion alert detailsacode

20220601 102428  sujan kumar work notes
out of  service desk scope hence assigning to concern team

"
"2022-06-01 11:11:57 - SolarWinds Integration (Work notes)
Alert reset - issue detected as resolved by Orion
[code]<a rel=""noopener noreferrer nofollow"" href=""https://solarwinds.wescoair.com:443/Orion/View.aspx?NetObject=AAT:95080"" target=""_blank"">Orion Alert Details</a>[/code]

2022-06-01 10:57:37 - Ranjan Kumar (Work notes)
Out of service desk scope hence assigning the ticket to concern team,

","20220601 111157  solarwinds integration work notes
alert reset  issue detected as resolved by orion
codea relnoopener noreferrer nofollow hrefhttpssolarwindswescoaircom443orionviewaspxnetobjectaat95080 target_blankorion alert detailsacode

20220601 105737  ranjan kumar work notes
out of service desk scope hence assigning the ticket to concern team

"
