Region,Category,Country,Group,Summary,TSC,Date,Type,Cleaned_Column
AP,Email,India,Deskside,Outlook - Outlook update issue,Y,12-09-2022,Incident,                    outlook  outlook update issue
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                          hardware troubleshooting
AM,Laptop,United States,Deskside,Hardware Issue - Laptop running slow,Y,17-09-2022,Incident,              hardware issue  laptop running slow
AM,Network,United States,Deskside,Reported Issue - Network - WiFi,Y,15-09-2022,Incident,                   reported issue  network  wifi
EMEA,Network,Spain,Deskside,Reported Issue - Network - Other,Y,16-01-2023,Incident,                  reported issue  network  other
AP,Windows / OS,Sri Lanka,Deskside,Windows Troubleshooting,Y,27-09-2022,Incident,                           windows troubleshooting
AM,,India,Deskside,EU Non Encrypted machines,Y,15-12-2022,Incident,                         eu non encrypted machines
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,13-09-2022,Incident,                           hardware issue  laptop
AM,M365,United States,Deskside,Reported Issue - Application - Microsoft Office,Y,01-09-2022,Incident,   reported issue  application  microsoft office
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,15-02-2023,Incident,                           hardware issue  laptop
AM,Hardware,India,Deskside,Hardware Issue - EU Non Encrypted machines,Y,05-10-2022,Incident,        hardware issue  eu non encrypted machines
AM,Hardware,India,Deskside,Hardware Issue - EU Non Encrypted machines,Y,21-09-2022,Incident,        hardware issue  eu non encrypted machines
AM,Laptop,United States,Deskside,Michael Hartnett - JLL Hardware Issue - Laptop Loaner required,Y,01-11-2022,Incident,michael hartnett  jll hardware issue  laptop 
AP,,Singapore,Deskside,Application Issue - Asure Resource Scheduler,Y,03-10-2022,Incident,      application issue  asure resource scheduler
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,15-09-2022,Incident,                           hardware issue  laptop
AM,Access,United States,Deskside,Resource Schedule --  Access issues,Y,11-01-2023,Incident,               resource schedule   access issues
AM,,United States,Deskside,Excel -  Issues,Y,25-10-2022,Incident,                                   excel   issues
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,25-11-2022,Incident,        reported issue  hardware  laptop_desktop
AP,,India,Deskside,EU Unencrypted Machines July 4 2022,Y,16-02-2023,Incident,               eu unencrypted machines july 4 2022
AM,Active Directory,United States,Deskside,BAC Compliance Checking at Login,Y,06-09-2022,Incident,                  bac compliance checking at login
AM,Windows / OS,United States,Deskside,"Windows 10 - ""There Are Currently No Power Options Available"" Error",Y,01-09-2022,Incident,windows 10  there are currently no power opti
AM,Hardware,United States,Deskside,Hardware - Wrong shipping address,Y,21-09-2022,Incident,                 hardware  wrong shipping address
AM,Laptop,United States,Deskside,URGENT - Hardware Issue - Laptop (access),Y,07-11-2022,Incident,         urgent  hardware issue  laptop access
AM,,United States,Deskside,AM - JLL RATA Comply - Update Version 21.1 Admin Assistance - USLILVMPRDSQL16,Y,01-09-2022,Incident,am  jll rata comply  update version 211 admi
AM,,United States,Deskside,NO CCM INSTALLED AT ALL,Y,21-11-2022,Incident,                           no ccm installed at all
AM,Network,United States,Deskside,Reported Issue - Network - Other,Y,11-01-2023,Incident,                  reported issue  network  other
AP,,South Korea,Deskside,Reported Issue - Other / Miscellaneous,Y,01-02-2023,Incident,            reported issue  other  miscellaneous
AM,Laptop,United States,Deskside,Hardware Issue - Laptop screen is cracked / the crack is expanding ,Y,19-10-2022,Incident,hardware issue  laptop screen is cracked  the
AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,22-09-2022,Incident,                           hardware issue  laptop
AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,26-12-2022,Incident,                           hardware issue  laptop
AM,Access,United States,Deskside,Box - Install and access Issue,Y,02-09-2022,Incident,                    box  install and access issue
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop HF5R473 to HJ6RXD3 ,Y,20-09-2022,Incident,reported issue  hardware  laptop_desktop hf5r
AM,M365,United States,Deskside, IRV - MS Teams / Telecom  Voice Calling- Issues - Paula Paredes,Y,20-01-2023,Incident, irv  ms teams  telecom  voice calling issue
AP,,Australia,Deskside,Application Issue - OneDrive Not Opening,Y,29-11-2022,Incident,          application issue  onedrive not opening
AM,,United States,Deskside,Dell docking stations box equipment INC1049111 as reference,Y,14-11-2022,Incident,dell docking stations box equipment inc1049111 
AM,,Canada,Deskside,JLL Sharepoint Excel File permissions,Y,16-09-2022,Incident,             jll sharepoint excel file permissions
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-11-2022,Incident,                           hardware issue  laptop
AP,Laptop,Australia,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,01-12-2022,Incident,        reported issue  hardware  laptop_desktop
AM,,United States,Deskside,WebEx Meetings - Meeting / Disable the lobby in the personal room,Y,28-09-2022,Incident,webex meetings  meeting  disable the lobby in
AM,,United States,Deskside,Steve Sinisi - Google Chrome - Issues After Update,Y,02-11-2022,Incident,steve sinisi  google chrome  issues after update
AM,Laptop,United States,Deskside,(Hard-Down) Reported Issue - Hardware - Laptop_Desktop,Y,24-10-2022,Incident,harddown reported issue  hardware  laptop_
AM,Laptop,United States,Deskside,Donna Whitney-Reported Issue - Hardware - Laptop_Desktop,Y,18-10-2022,Incident,donna whitneyreported issue  hardware  lapto
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,28-09-2022,Incident,        reported issue  hardware  laptop_desktop
AP,Hardware,Sri Lanka,Deskside,Hardware Troubleshooting,Y,27-09-2022,Incident,                          hardware troubleshooting
AP,Email,Bangladesh,Deskside,Email Issues,Y,15-09-2022,Incident,                                      email issues
AM,Hardware,United States,Deskside,Hardware Issue - Monitor are not connecting to the Docking station / Monitors are not detected,Y,14-10-2022,Incident,hardware issue  monitor are not connecting to 
AM,,United States,Deskside,Reported Issue - Application - Alteryx,Y,04-10-2022,Incident,            reported issue  application  alteryx
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,08-09-2022,Incident,        reported issue  hardware  laptop_desktop
AM,Laptop,United States,Deskside,Laptop issues - Performance,Y,08-09-2022,Incident,                       laptop issues  performance
AM,,United States,Deskside,"Tom Bondor - CITRIX Receiver   - Error: ""Account is not configured""",Y,20-09-2022,Incident,tom bondor  citrix receiver    error accoun
AM,Laptop,United States,Deskside,Hardware Issue - Laptop (Power button),Y,19-09-2022,Incident,            hardware issue  laptop power button
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Audio issue,Y,05-09-2022,Incident,           jll hardware issue  laptop audio issue
AM,,United States,Deskside,Vpn - Disconnect constantly,Y,08-11-2022,Incident,                       vpn  disconnect constantly
AP,Laptop,India,Deskside,Hardware Issue - Laptop,Y,21-09-2022,Incident,                           hardware issue  laptop
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop Repair Assistance,Y,22-11-2022,Incident,     jll hardware issue  laptop repair assistance
AM,Laptop,Canada,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,19-09-2022,Incident,        reported issue  hardware  laptop_desktop
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,22-09-2022,Incident,        reported issue  hardware  laptop_desktop
AM,Active Directory,United States,Deskside,Software Issues - IT monitor issues.,Y,16-09-2022,Incident,              software issues  it monitor issues
AM,Hardware,Canada,Deskside,Reported Issue - Hardware - Monitor,Y,05-10-2022,Incident,               reported issue  hardware  monitor
AM,Laptop,United States,Deskside,Adam Bargar - Hardware Issue - Laptop Battery Issues.,Y,02-11-2022,Incident,adam bargar  hardware issue  laptop battery i
AP,,Australia,Deskside,Reported Issue - Application - Adobe Sign,Y,21-09-2022,Incident,         reported issue  application  adobe sign
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,07-09-2022,Incident,              hardware issue  laptop not starting
AM,Windows / OS,United States,Deskside,Windows  -  The message still popping up / Hard drive issue,Y,15-09-2022,Incident,windows    the message still popping up  hard
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,16-09-2022,Incident,              hardware issue  laptop not starting
AM,M365,United States,Deskside,Office 365 -License Upgrade.,Y,19-09-2022,Incident,                      office 365 license upgrade
AM,Laptop,United States,Deskside,Hardware Issue - Laptop (Fan broken),Y,14-10-2022,Incident,              hardware issue  laptop fan broken
AP,M365,India,Deskside,Application Issues,Y,15-09-2022,Incident,                                application issues
AP,,India,Deskside,Application Issues,Y,28-09-2022,Incident,                                application issues
AM,,United States,Deskside,"MULTIPLE FILES NOW SAY CORRUPT IN ONEDRIVE ""JLL Excel File unreadable""",Y,15-09-2022,Incident,multiple files now say corrupt in onedrive jll
AM,Laptop,United States,Deskside,Chris Johnson-JLL Hardware Issue - Laptop Bad Performance - Replacement approval required,Y,05-09-2022,Incident,chris johnsonjll hardware issue  laptop bad p
AM,,United States,Deskside,Reported Issue - Other / Miscellaneous,Y,27-09-2022,Incident,            reported issue  other  miscellaneous
AM,Laptop,United States,Deskside,CapitalMarkets - Replacement Laptop for Producer |  Dell 7420 ST 4M5N5M3 | Deployed,Y,08-09-2022,Incident,capitalmarkets  replacement laptop for produce
AP,,India,Deskside,Application Issues,Y,12-09-2022,Incident,                                application issues
AP,Hardware,India,Deskside,Hardware Troubleshooting,Y,05-09-2022,Incident,                          hardware troubleshooting
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,28-09-2022,Incident,        reported issue  hardware  laptop_desktop
AM,Laptop,United States,Deskside,Software Issues -  New laptop issues.,Y,07-09-2022,Incident,             software issues   new laptop issues
AM,Laptop,United States,Deskside,Tate Wallace - Hardware Issue - Laptop Issues.,Y,02-11-2022,Incident,    tate wallace  hardware issue  laptop issues
AM,Laptop,United States,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,19-10-2022,Incident,        reported issue  hardware  laptop_desktop
AM,Laptop,United States,Deskside,Troy Green - Hardware Issue - Laptop,Y,11-10-2022,Incident,              troy green  hardware issue  laptop
AM,Laptop,United States,Deskside,Nima Govind - Hardware Issue - Laptop keyboard and mouse issues.,Y,02-11-2022,Incident,nima govind  hardware issue  laptop keyboard 
AM,,United States,Deskside,Reported Issue - Application - Adobe Acrobat Pro,Y,19-09-2022,Incident,  reported issue  application  adobe acrobat pro
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,07-10-2022,Incident,                           hardware issue  laptop
AP,Laptop,Hong Kong,Deskside,Hardware Issue - Laptop monitor - [Alex],Y,14-09-2022,Incident,          hardware issue  laptop monitor  alex
AP,,Australia,Deskside,For the site AUPER02(Perth) file server idrac (10.132.24.196) in unavailable.,Y,08-09-2022,Incident,for the site auper02perth file server idrac 
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery Issues.,Y,26-09-2022,Incident,           hardware issue  laptop battery issues
AM,Network,United States,Deskside,Reported Issue - Network - WiFi,Y,17-10-2022,Incident,                   reported issue  network  wifi
AM,Laptop,United States,Deskside,Hardware Issue - Laptop / Power Off and Restart options are not available. ,Y,07-09-2022,Incident,hardware issue  laptop  power off and restart
AM,Windows / OS,United States,Deskside,Mac - Computer Issues JLLNET2.0 WiFi,Y,14-09-2022,Incident,              mac  computer issues jllnet20 wifi
AM,,Canada,Deskside,Bomgar -  The user's computer does not appear on the system,Y,15-09-2022,Incident,bomgar   the users computer does not appear o
AM,Email,United States,Deskside,JLL Outlook mail search issue,Y,23-09-2022,Incident,                     jll outlook mail search issue
AP,Email,Singapore,Deskside,Remove deskside user email,Y,12-09-2022,Incident,                        remove deskside user email
AP,,India,Deskside,Application Issues,Y,02-09-2022,Incident,                                application issues
AP,,India,Deskside,Application  issue,Y,02-09-2022,Incident,                                application  issue
AM,Laptop,United States,Deskside,Lauren Slonceski - Hardware Issue - Laptop,Y,20-10-2022,Incident,        lauren slonceski  hardware issue  laptop
AM,Network,United States,Deskside,Internet - Network connectivity issues,Y,11-12-2022,Incident,            internet  network connectivity issues
AM,Hardware,United States,Deskside,Diane Sierts - Hardware issues - Blue screen ,Y,02-11-2022,Incident,     diane sierts  hardware issues  blue screen 
AM,,United States,Deskside,JLL Crowdstrike two unsanctioned EDR solutions - Reimage,Y,16-09-2022,Incident,jll crowdstrike two unsanctioned edr solutions 
AM,Hardware,United States,Deskside,Hardware -   06B03 Rio Grande Conference Room is having issues with having issues with speakers,Y,04-10-2022,Incident,hardware    06b03 rio grande conference room i
AP,,India,Deskside,Hardward Troubleshooting,Y,06-09-2022,Incident,                          hardward troubleshooting
AP,Windows / OS,India,Deskside,Windows Troubleshooting,Y,12-09-2022,Incident,                           windows troubleshooting
AM,Windows / OS,United States,Deskside,Hardware Issue - Monitor- Computer Issues - Windows Icon / File Explorer,Y,12-10-2022,Incident,hardware issue  monitor computer issues  win
AM,Laptop,United States,Deskside,Hardware Issue - Laptop-  Error : Your computer has been infected,Y,29-09-2022,Incident,hardware issue  laptop  error  your computer
AM,Email,United States,Deskside,JLL mac device Teams group outlook calendar sync,Y,06-09-2022,Incident,  jll mac device teams group outlook calendar sync
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery.,Y,01-09-2022,Incident,                  hardware issue  laptop battery
AM,Network,United States,Deskside,Off network issues ,Y,07-09-2022,Incident,                               off network issues 
AP,Active Directory,Australia,Deskside,Frequent Lock Out,Y,06-09-2022,Incident,                                 frequent lock out
AP,Hardware,India,Deskside,Hardware Troubleshooting,Y,13-09-2022,Incident,                          hardware troubleshooting
AM,,United States,Deskside,(STR1) ScanSafe Proxy - Blocked sites information,Y,02-09-2022,Incident, str1 scansafe proxy  blocked sites information
AM,Laptop,Canada,Deskside,Hardware Issue - Laptop,Y,01-12-2022,Incident,                           hardware issue  laptop
AM,,United States,Deskside,Black Screen,Y,02-09-2022,Incident,                                      black screen
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop GENERAL issues - Replacement required,Y,01-09-2022,Incident,jll hardware issue  laptop general issues  re
AM,,United States,Deskside,Bluebeam -  Application issues,Y,20-09-2022,Incident,                    bluebeam   application issues
AM,Laptop,United States,Deskside,Laptop - Audio,Y,17-09-2022,Incident,                                    laptop  audio
AP,M365,Hong Kong,Deskside,APAC - Application Issue - Excel function,Y,29-09-2022,Incident,         apac  application issue  excel function
AM,Laptop,United States,Deskside,Jacques Mooney - Hardware Issue - Laptop (Internal system),Y,01-09-2022,Incident,jacques mooney  hardware issue  laptop inter
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting - Windows - Laptop Booting to Blank/Black Screen,Y,07-09-2022,Incident,hardware issue  laptop not starting  windows 
AM,Laptop,United States,Deskside,Laptop Refresh - (Blake Shaffer - Service Tag: 891M0F3,Y,07-09-2022,Incident,laptop refresh  blake shaffer  service tag 
AM,,Canada,Deskside,Reported Issue - Other / Miscellaneous,Y,13-09-2022,Incident,            reported issue  other  miscellaneous
AM,Email,United States,Deskside,Kalia Keith - Email - Other reported,Y,13-10-2022,Incident,              kalia keith  email  other reported
AM,,United States,Deskside,Hali Voycik - JLL  Bluebeam  Assistance required,Y,02-11-2022,Incident,  hali voycik  jll  bluebeam  assistance required
AM,Email,United States,Deskside,INC1080050 Outlook - Calendar issues,Y,06-09-2022,Incident,              inc1080050 outlook  calendar issues
AM,Laptop,United States,Deskside,Hardware Issue - Laptop various (memory and hardware),Y,29-09-2022,Incident,hardware issue  laptop various memory and har
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,09-09-2022,Incident,               hardware issue  laptop performance
AM,,United States,Deskside,Adobe Acrobat Pro - Application issues.,Y,01-09-2022,Incident,           adobe acrobat pro  application issues
AM,Laptop,United States,Deskside,Laptop Replacement,Y,07-09-2022,Incident,                                laptop replacement
AP,,Philippines,Deskside,Reported Issue - Application - Excel (desktop),Y,01-09-2022,Incident,    reported issue  application  excel desktop
AM,Email,United States,Deskside,Email - Outlook not syncing - Application Crashing on MAC computer. ,Y,20-09-2022,Incident,email  outlook not syncing  application crash
AM,Laptop,United States,Deskside,Doug Rowles - Laptop is freezing up,Y,10-10-2022,Incident,               doug rowles  laptop is freezing up
AM,,United States,Deskside,Reported Issue - Server - Other,Y,09-09-2022,Incident,                   reported issue  server  other
AM,Network,United States,Deskside,Internet - Network connectivity issues,Y,07-11-2022,Incident,            internet  network connectivity issues
AM,Network,Canada,Deskside,Network Account - Off Network Computer Login Issue,Y,20-09-2022,Incident,network account  off network computer login issue
AM,Hardware,Canada,Deskside,Hardware - Monitor  damaged on arrival,Y,28-10-2022,Incident,            hardware  monitor  damaged on arrival
AM,M365,United States,Deskside,Microsoft Teams - Audio is not working,Y,21-09-2022,Incident,            microsoft teams  audio is not working
AM,M365,United States,Deskside,Microsoft Teams - Background issues.,Y,06-09-2022,Incident,              microsoft teams  background issues
AM,,United States,Deskside,Zoom - Issues,Y,05-09-2022,Incident,                                     zoom  issues
AP,Hardware,Australia,Deskside,Reported Issue - Hardware - Monitor,Y,05-09-2022,Incident,               reported issue  hardware  monitor
AM,,United Kingdom,Deskside, I no longer have r-click>New Folder option in Explorer,Y,20-09-2022,Incident, i no longer have rclicknew folder option in 
AP,,India,Deskside,Application Issues,Y,12-09-2022,Incident,                                application issues
AP,Network,,Deskside,Network Issues,Y,19-09-2022,Incident,                                    network issues
AP,Hardware,Hong Kong,Deskside,Hardware Issue - Computer power down isuue,Y,01-09-2022,Incident,        hardware issue  computer power down isuue
AP,Laptop,Australia,Deskside,Reported Issue - Hardware - Laptop_Desktop,Y,05-09-2022,Incident,        reported issue  hardware  laptop_desktop
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop touckpad issues ,Y,18-01-2023,Incident,      jll hardware issue  laptop touckpad issues 
AM,,United States,Deskside,Reported Issue - Security - Other,Y,05-09-2022,Incident,                 reported issue  security  other
AM,Email,United States,Deskside,JLL outlook merge emails stuck on outbox,Y,08-09-2022,Incident,          jll outlook merge emails stuck on outbox
AM,Email,United States,Deskside,URGENT JLL Outlook Storage / lag  issues,Y,02-09-2022,Incident,          urgent jll outlook storage  lag  issues
AP,,Australia,Deskside,Application Issue - Issue with Onboarding Tool,Y,11-09-2022,Incident,    application issue  issue with onboarding tool
AP,,Hong Kong,Deskside,Missing E-mails,Y,01-09-2022,Incident,                                   missing emails
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Battery issues.,Y,06-09-2022,Incident,           hardware issue  laptop battery issues
AM,Laptop,United States,Deskside,Ashakia Macklin - HARD DOWN JLL Hardware Issue - Laptop / OS Performance,Y,06-09-2022,Incident,ashakia macklin  hard down jll hardware issue 
AM,Laptop,United States,Deskside,Hardware Issue - Laptop replacement,Y,06-09-2022,Incident,               hardware issue  laptop replacement
AM,Laptop,United States,Deskside,Hardware Issue - Laptop audio issues,Y,05-09-2022,Incident,              hardware issue  laptop audio issues
AM,,United States,Deskside,Not able to rebirth a request,Y,08-11-2022,Incident,                     not able to rebirth a request
AM,M365,United States,Deskside,Travis James JLL   - teams audio issue,Y,23-09-2022,Incident,            travis james jll    teams audio issue
AM,,United States,Deskside,ePro -  Ordering a software license / Adobe,Y,03-10-2022,Incident,       epro   ordering a software license  adobe
AM,Laptop,United States,Deskside,Sara Alter - Hardware - JLL Damaged Property - Laptop Performance URGENT,Y,07-10-2022,Incident,sara alter  hardware  jll damaged property  
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop low memory notification,Y,22-09-2022,Incident,jll hardware issue  laptop low memory notifica
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,27-09-2022,Incident,               hardware issue  laptop performance
AP,Hardware,Australia,Deskside,Hardware Issue - Docking Station,Y,06-12-2022,Incident,                  hardware issue  docking station
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,02-09-2022,Incident,                           hardware issue  laptop
AM,Laptop,United States,Deskside,JLL Hardware Issue - Laptop BAD Performance - Final Strike before closure,Y,14-11-2022,Incident,jll hardware issue  laptop bad performance  f
AM,Hardware,United States,Deskside,JLL Hardware Issue - Monitor issues,Y,01-09-2022,Incident,               jll hardware issue  monitor issues
AM,Laptop,United States,Deskside,Hardware Issue - Laptop issues. OOW - Laptop deploy - ST:HDHVPN3,Y,04-10-2022,Incident,hardware issue  laptop issues oow  laptop de
AM,Laptop,United States,Deskside,Ben Lentz - Hardware Issue - Laptop will not play sound on videos,Y,02-11-2022,Incident,ben lentz  hardware issue  laptop will not pl
AP,Email,Australia,Deskside,Email - Issue sending or receiving reported,Y,05-09-2022,Incident,       email  issue sending or receiving reported
AP,Email,India,Deskside,Email Issues,Y,19-09-2022,Incident,                                      email issues
AM,,United States,Deskside,Software - Capture One software issues,Y,20-09-2022,Incident,            software  capture one software issues
AP,,India,Deskside,Application issue,Y,02-09-2022,Incident,                                 application issue
AM,Laptop,United States,Deskside,Hardware Issue -  Laptop disconnects from the internet  ( Recurring issue),Y,02-09-2022,Incident,hardware issue   laptop disconnects from the i
AM,Active Directory,United States,Deskside,BAC Compliance Checking at Login,Y,06-09-2022,Incident,                  bac compliance checking at login
AM,Laptop,United States,Deskside,"JLL Hardware Issue - Laptop, Mouse  & Screen Performance",Y,19-09-2022,Incident,jll hardware issue  laptop mouse   screen pe
AM,Access,United States,Deskside,Hardware Issue - Accessories (Power cord),Y,14-09-2022,Incident,         hardware issue  accessories power cord
AM,,United States,Deskside,OneDrive - Application is not working properly,Y,01-09-2022,Incident,    onedrive  application is not working properly
AM,M365,United States,Deskside,Reported Issue - Application - Microsoft Teams - O365 App,Y,16-09-2022,Incident,reported issue  application  microsoft teams 
AM,Network,United States,Deskside,No network connection options,Y,08-09-2022,Incident,                     no network connection options
AM,Email,United States,Deskside,INC1088345 - Xerox Email Blast Request.,Y,01-09-2022,Incident,           inc1088345  xerox email blast request
AM,,United States,Deskside,NO CCM INSTALLED AT ALL,Y,05-12-2022,Incident,                           no ccm installed at all
AM,,United States,Deskside, Adobe Support - Adobe Creative Cloud,Y,19-09-2022,Incident,              adobe support  adobe creative cloud
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance,Y,01-09-2022,Incident,               hardware issue  laptop performance
AM,,United States,Deskside,Reported Issue - Security - Suspicious Activity,Y,13-09-2022,Incident,   reported issue  security  suspicious activity
AP,,China,Deskside,Reported Issue - Application - Corrigo,Y,06-09-2022,Incident,            reported issue  application  corrigo
AP,,Hong Kong,Deskside,Reported Issue - Application - SharePoint Extranet,Y,04-09-2022,Incident,reported issue  application  sharepoint extranet
AP,Active Directory,Hong Kong,Deskside,Frequent Lock Out,Y,12-09-2022,Incident,                                 frequent lock out
AP,,India,Deskside,Datacard,Y,19-09-2022,Incident,                                          datacard
AP,Access,India,Deskside,Unable to access pbp.propertymanager@ap.jll.com,Y,07-09-2022,Incident,   unable to access pbppropertymanagerapjllcom
AP,,India,Deskside,Audio/Video system,Y,05-10-2022,Incident,                                audiovideo system
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Not starting,Y,09-09-2022,Incident,              hardware issue  laptop not starting
AM,,United States,Deskside,Jessica Rose-HARD DOWN- the user computer is not working,Y,01-09-2022,Incident,jessica rosehard down the user computer is no
AM,,United States,Deskside,Reported Issue - Server - Issue with VHD file,Y,01-09-2022,Incident,     reported issue  server  issue with vhd file
AM,Laptop,United States,Deskside,Liz Benham - Hardware Issue - Laptop Not starting,Y,01-09-2022,Incident, liz benham  hardware issue  laptop not starting
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Monitor issues.,Y,01-09-2022,Incident,           hardware issue  laptop monitor issues
AM,Hardware,United States,Deskside,Reported Issue - Hardware - Docking_Station,Y,15-02-2023,Incident,       reported issue  hardware  docking_station
AM,Laptop,United States,Deskside,Hardware Issue - Laptop,Y,02-09-2022,Incident,                           hardware issue  laptop
AM,,United States,Deskside,Adobe Acrobat Pro - Applicattion Issues.,Y,27-09-2022,Incident,          adobe acrobat pro  applicattion issues
AM,,United States,Deskside,Sari Mishell - Adobe Acrobat - Issues,Y,11-10-2022,Incident,             sari mishell  adobe acrobat  issues
AM,,United States,Deskside,Reported Issue - Application - Adobe Creative,Y,06-09-2022,Incident,     reported issue  application  adobe creative
AM,,United States,Deskside,Hyung Lim-Hyung Lim-Reported Issue - Amazon Web Services (AWS),Y,29-09-2022,Incident,hyung limhyung limreported issue  amazon web
AM,Laptop,United States,Deskside,Hardware Issue - Laptop - Battery,Y,01-09-2022,Incident,                 hardware issue  laptop  battery
AM,Email,United States,Deskside,Outlook - Not launching,Y,07-09-2022,Incident,                           outlook  not launching
AM,,United States,Deskside,Compress Hard drive,Y,07-10-2022,Incident,                               compress hard drive
AM,Email,United States,Deskside,Email - Other reported,Y,08-09-2022,Incident,                            email  other reported
AP,Hardware,India,Deskside,Hardware Troubleshooting,Y,12-09-2022,Incident,                          hardware troubleshooting
AM,Laptop,United States,Deskside,Hardware Issue - Laptop Performance / Slowness and Out of storage,Y,01-09-2022,Incident,hardware issue  laptop performance  slowness 
AM,Laptop,Canada,Deskside,Hardware Issue - Laptop,Y,08-09-2022,Incident,                           hardware issue  laptop
AM,Laptop,United States,Deskside,Kristen Tomins - Hardware Issue - Laptop Performance / Storage issues,Y,06-09-2022,Incident,kristen tomins  hardware issue  laptop perfor
